SETTLEMENTDATE,TOTALDEMAND,forcastedDemand,testDemand
2018-10-25 20:30:00,1384.45,,1135.57
2018-10-25 21:00:00,1365.35,,1098.96
2018-10-25 21:30:00,1322.7,,1111.98
2018-10-25 22:00:00,1287.01,,1092.92
2018-10-25 22:30:00,1242.6,,1073.34
2018-10-25 23:00:00,1202.93,,1072.8
2018-10-25 23:30:00,1187.02,,1159.01
2018-10-26 00:00:00,1350.19,,1313.5
2018-10-26 00:30:00,1287.18,,1145.42
2018-10-26 01:00:00,1256.67,,1136.09
2018-10-26 01:30:00,1206.17,,1116.39
2018-10-26 02:00:00,1185.75,,1103.93
2018-10-26 02:30:00,1138.2,,1102.08
2018-10-26 03:00:00,1095.7,,1108.15
2018-10-26 03:30:00,1055.97,,1104.12
2018-10-26 04:00:00,1041.63,,1117.02
2018-10-26 04:30:00,1070.78,,1193.55
2018-10-26 05:00:00,1091.52,,1174.56
2018-10-26 05:30:00,1106.76,,1268.53
2018-10-26 06:00:00,1183.71,,1307.22
2018-10-26 06:30:00,1271.88,,1225.37
2018-10-26 07:00:00,1303.21,,1210.33
2018-10-26 07:30:00,1283.96,,1285.42
2018-10-26 08:00:00,1173.87,,1180.05
2018-10-26 08:30:00,1075.37,,1162.03
2018-10-26 09:00:00,964.27,,1123.79
2018-10-26 09:30:00,927.37,,1117.7
2018-10-26 10:00:00,867.38,,1134.22
2018-10-26 10:30:00,822.26,,1134.45
2018-10-26 11:00:00,812.79,,1120.87
2018-10-26 11:30:00,777.04,,1123.16
2018-10-26 12:00:00,795.59,,1104.86
2018-10-26 12:30:00,799.9,,1076.38
2018-10-26 13:00:00,817.44,,1077.69
2018-10-26 13:30:00,820.57,,1129.75
2018-10-26 14:00:00,831.04,,1145.15
2018-10-26 14:30:00,842.17,,1103.5
2018-10-26 15:00:00,879.85,,1125.67
2018-10-26 15:30:00,920.96,,1123.9
2018-10-26 16:00:00,990.14,,1129.69
2018-10-26 16:30:00,1053.9,,1117.0
2018-10-26 17:00:00,1121.72,,1170.49
2018-10-26 17:30:00,1216.15,,1157.92
2018-10-26 18:00:00,1289.86,,1241.8
2018-10-26 18:30:00,1351.91,,1263.42
2018-10-26 19:00:00,1389.18,,1322.74
2018-10-26 19:30:00,1419.79,,1144.85
2018-10-26 20:00:00,1435.7,,1269.11
2018-10-26 20:30:00,1380.61,,1230.93
2018-10-26 21:00:00,1345.28,,1128.36
2018-10-26 21:30:00,1321.49,,1108.15
2018-10-26 22:00:00,1294.68,,1102.22
2018-10-26 22:30:00,1266.01,,1139.56
2018-10-26 23:00:00,1244.74,,1143.58
2018-10-26 23:30:00,1220.49,,1301.83
2018-10-27 00:00:00,1374.24,,1250.54
2018-10-27 00:30:00,1292.66,,1151.76
2018-10-27 01:00:00,1259.46,,1127.08
2018-10-27 01:30:00,1179.64,,1110.64
2018-10-27 02:00:00,1123.29,,1117.47
2018-10-27 02:30:00,1097.71,,1117.47
2018-10-27 03:00:00,1078.15,,1112.92
2018-10-27 03:30:00,1040.97,,1102.82
2018-10-27 04:00:00,1002.16,,1095.32
2018-10-27 04:30:00,1028.97,,1120.3
2018-10-27 05:00:00,1011.23,,1417.67
2018-10-27 05:30:00,1029.17,,1281.7
2018-10-27 06:00:00,1072.58,,1199.24
2018-10-27 06:30:00,1069.36,,1261.6
2018-10-27 07:00:00,1099.6,,1244.54
2018-10-27 07:30:00,1137.91,,1147.64
2018-10-27 08:00:00,1076.32,,1149.62
2018-10-27 08:30:00,1001.28,,1134.49
2018-10-27 09:00:00,971.0,,1121.44
2018-10-27 09:30:00,976.02,,1125.9
2018-10-27 10:00:00,870.06,,1118.09
2018-10-27 10:30:00,882.23,,1160.44
2018-10-27 11:00:00,811.49,,1116.86
2018-10-27 11:30:00,755.09,,1154.6
2018-10-27 12:00:00,715.48,,1175.66
2018-10-27 12:30:00,715.77,,1156.25
2018-10-27 13:00:00,748.14,,1174.8
2018-10-27 13:30:00,740.66,,1141.23
2018-10-27 14:00:00,752.21,,1129.32
2018-10-27 14:30:00,770.85,,1120.09
2018-10-27 15:00:00,819.32,,1147.04
2018-10-27 15:30:00,859.54,,1156.54
2018-10-27 16:00:00,945.14,,1185.17
2018-10-27 16:30:00,1025.16,,1176.96
2018-10-27 17:00:00,1136.12,,1183.44
2018-10-27 17:30:00,1204.51,,1191.98
2018-10-27 18:00:00,1244.27,,1191.37
2018-10-27 18:30:00,1273.28,,1192.96
2018-10-27 19:00:00,1296.02,,1232.06
2018-10-27 19:30:00,1300.69,,1188.31
2018-10-27 20:00:00,1310.3,,1177.86
2018-10-27 20:30:00,1300.87,,1174.07
2018-10-27 21:00:00,1256.71,,1151.36
2018-10-27 21:30:00,1260.08,,1147.72
2018-10-27 22:00:00,1216.57,,1121.52
