SETTLEMENTDATE,TOTALDEMAND,forcastedDemand,testDemand
2018-10-28 16:00:00,869.64,,1005.75
2018-10-28 16:30:00,937.2,,1065.98
2018-10-28 17:00:00,1023.56,,1153.57
2018-10-28 17:30:00,1116.18,,1219.27
2018-10-28 18:00:00,1206.85,,1251.84
2018-10-28 18:30:00,1270.6,,1282.91
2018-10-28 19:00:00,1269.03,,1301.28
2018-10-28 19:30:00,1289.03,,1305.79
2018-10-28 20:00:00,1301.69,,1303.55
2018-10-28 20:30:00,1272.32,,1289.14
2018-10-28 21:00:00,1244.72,,1249.68
2018-10-28 21:30:00,1220.34,,1253.22
2018-10-28 22:00:00,1164.97,,1223.21
2018-10-28 22:30:00,1119.32,,1213.97
2018-10-28 23:00:00,1124.59,,1216.8
2018-10-28 23:30:00,1144.17,,1214.55
2018-10-29 00:00:00,1320.47,,1358.06
2018-10-29 00:30:00,1281.69,,1326.64
2018-10-29 01:00:00,1258.67,,1283.98
2018-10-29 01:30:00,1205.98,,1209.06
2018-10-29 02:00:00,1171.6,,1155.4
2018-10-29 02:30:00,1134.35,,1119.44
2018-10-29 03:00:00,1127.16,,1121.18
2018-10-29 03:30:00,1104.54,,1079.19
2018-10-29 04:00:00,1086.2,,1063.3
2018-10-29 04:30:00,1097.89,,1074.88
2018-10-29 05:00:00,1139.31,,1064.81
2018-10-29 05:30:00,1182.39,,1081.92
2018-10-29 06:00:00,1251.06,,1086.95
2018-10-29 06:30:00,1299.65,,1082.75
2018-10-29 07:00:00,1363.35,,1079.26
2018-10-29 07:30:00,1347.22,,1041.72
2018-10-29 08:00:00,1256.22,,1041.81
2018-10-29 08:30:00,1166.31,,1026.77
2018-10-29 09:00:00,1085.36,,996.2
2018-10-29 09:30:00,1008.26,,972.36
2018-10-29 10:00:00,955.83,,925.35
2018-10-29 10:30:00,894.3,,916.21
2018-10-29 11:00:00,861.69,,920.18
2018-10-29 11:30:00,860.9,,906.38
2018-10-29 12:00:00,868.86,,885.77
2018-10-29 12:30:00,853.95,,886.4
2018-10-29 13:00:00,852.61,,894.71
2018-10-29 13:30:00,861.87,,875.99
2018-10-29 14:00:00,865.32,,857.91
2018-10-29 14:30:00,869.16,,841.09
2018-10-29 15:00:00,901.53,,867.22
2018-10-29 15:30:00,950.06,,914.36
2018-10-29 16:00:00,1000.36,,963.92
2018-10-29 16:30:00,1073.6,,1010.67
2018-10-29 17:00:00,1177.91,,1066.1
2018-10-29 17:30:00,1277.73,,1142.02
2018-10-29 18:00:00,1382.19,,1224.79
2018-10-29 18:30:00,1426.62,,1277.68
2018-10-29 19:00:00,1470.71,,1281.17
2018-10-29 19:30:00,1488.23,,1295.11
2018-10-29 20:00:00,1516.5,,1306.08
2018-10-29 20:30:00,1475.88,,1264.55
2018-10-29 21:00:00,1411.21,,1247.83
2018-10-29 21:30:00,1370.88,,1226.9
